 Time(s)   T_center   T_surface   dT
    250.66      607.13      846.52      239.38
    251.09      607.99      847.03      239.04
    251.53      608.84      847.54      238.70
    251.97      609.70      848.05      238.35
    252.40      610.55      848.56      238.01
    252.84      611.40      849.07      237.67
    253.28      612.25      849.58      237.33
    253.71      613.10      850.08      236.99
    254.15      613.94      850.59      236.65
    254.59      614.79      851.10      236.31
    255.02      615.63      851.60      235.97
    255.46      616.48      852.11      235.63
    255.90      617.32      852.61      235.29
    256.33      618.16      853.11      234.95
    256.77      619.00      853.62      234.61
    257.21      619.84      854.12      234.28
    257.64      620.68      854.62      233.94
    258.08      621.51      855.12      233.60
    258.52      622.35      855.62      233.27
    258.95      623.18      856.12      232.93
    259.39      624.01      856.61      232.60
    259.83      624.85      857.11      232.26
    260.26      625.68      857.61      231.93
    260.70      626.51      858.10      231.60
    261.14      627.33      858.60      231.26
    261.57      628.16      859.09      230.93
    262.01      628.99      859.58      230.60
    262.45      629.81      860.08      230.27
    262.88      630.63      860.57      229.94
    263.32      631.46      861.06      229.61
    263.76      632.28      861.55      229.28
    264.19      633.10      862.04      228.95
    264.63      633.91      862.53      228.62
    265.07      634.73      863.02      228.29
    265.50      635.55      863.51      227.96
    265.94      636.36      863.99      227.63
    266.38      637.18      864.48      227.30
    266.81      637.99      864.97      226.98
    267.25      638.80      865.45      226.65
    267.69      639.61      865.93      226.32
    268.12      640.42      866.42      226.00
    268.56      641.23      866.90      225.67
    269.00      642.04      867.38      225.35
    269.43      642.84      867.86      225.02
    269.87      643.65      868.34      224.70
    270.31      644.45      868.82      224.38
    270.74      645.25      869.30      224.05
    271.18      646.05      869.78      223.73
    271.62      646.85      870.26      223.41
    272.05      647.65      870.74      223.09
    272.49      648.45      871.21      222.77
    272.93      649.25      871.69      222.44
    273.36      650.04      872.16      222.12
    273.80      650.84      872.64      221.80
    274.24      651.63      873.11      221.48
    274.67      652.42      873.59      221.17
    275.11      653.21      874.06      220.85
    275.55      654.00      874.53      220.53
    275.98      654.79      875.00      220.21
    276.42      655.58      875.47      219.89
    276.86      656.36      875.94      219.58
    277.29      657.15      876.41      219.26
